NOM,TYPE,GROUPE DE RESSOURCES,EMPLACEMENT,ABONNEMENT
"Failure Anomalies - cisaciswcpublicprod","règle d’alerte de détecteur intelligent","ISWCProd","Global","CISAC"
"Failure Anomalies - cisaciswcpublicuat","règle d’alerte de détecteur intelligent","ISWCUAT","Global","CISAC"
"Failure Anomalies - cisaciswcuat","règle d’alerte de détecteur intelligent","ISWCUAT","Global","CISAC"
"Failure Anomalies - cisacspmedev","règle d’alerte de détecteur intelligent","ISWCDev","Global","CISAC"
"Failure Anomalies - cisacspmeuat","règle d’alerte de détecteur intelligent","ISWCUAT","Global","CISAC"
"Failure Anomalies - ISWCDev","règle d’alerte de détecteur intelligent","ISWCDev","Global","CISAC"
"Failure Anomalies - ISWCProd","règle d’alerte de détecteur intelligent","ISWCProd","Global","CISAC"
"Failure Anomalies - ISWCUAT","règle d’alerte de détecteur intelligent","ISWCUAT","Global","CISAC"
"fc9089d2537745088b79e1b8d5b1098b","Machine virtuelle","ISWCDatabricksProd","West Europe","CISAC"
"fc9089d2537745088b79e1b8d5b1098b-containerRootVolume","Disque","ISWCDATABRICKSPROD","West Europe","CISAC"
"fc9089d2537745088b79e1b8d5b1098b-osDisk","Disque","ISWCDATABRICKSPROD","West Europe","CISAC"
"fc9089d2537745088b79e1b8d5b1098b-privateNIC","Interface réseau","ISWCDatabricksProd","West Europe","CISAC"
"fc9089d2537745088b79e1b8d5b1098b-publicIP","Adresse IP publique","ISWCDatabricksProd","West Europe","CISAC"
"fc9089d2537745088b79e1b8d5b1098b-publicNIC","Interface réseau","ISWCDatabricksProd","West Europe","CISAC"
"Health Check","Groupe d’actions","ManagementProd","Global","CISAC"
"Health Check - CISACAzPSFTP - Virtual Machine - CPU Credits","Règle d’alerte de métrique","ManagementProd","Global","CISAC"
"Health Check - CISACAzPSFTP - Virtual Machine - Percentage CPU","Règle d’alerte de métrique","ManagementProd","Global","CISAC"
"Health Check - cisaciswcapiprod - App Service - Handle Count","Règle d’alerte de métrique","ManagementProd","Global","CISAC"
"Health Check - cisaciswcapiprod - App Service - Response Time","Règle d’alerte de métrique","ManagementProd","Global","CISAC"
"Health Check - cisaciswcjobsprod - App Service - Handle Count","Règle d’alerte de métrique","ManagementProd","Global","CISAC"
"Health Check - cisaciswcjobsprod - App Service - Response Time","Règle d’alerte de métrique","ManagementProd","Global","CISAC"
"Health Check - cisaciswcportalprod - App Service - Handle Count","Règle d’alerte de métrique","ManagementProd","Global","CISAC"
"Health Check - cisaciswcportalprod - App Service - Response Time","Règle d’alerte de métrique","ManagementProd","Global","CISAC"
"Health Check - cisaciswcprod - API Management Service - Capacity","Règle d’alerte de métrique","ManagementProd","Global","CISAC"
"Health Check - cisaciswcprod - CosmosDB - RU Consumption","Règle d’alerte de métrique","ManagementProd","Global","CISAC"
"Health Check - cisaciswcpublicprod - App Service - Handle Count","Règle d’alerte de métrique","ManagementProd","Global","CISAC"
"Health Check - cisaciswcpublicprod - App Service - Response Time","Règle d’alerte de métrique","ManagementProd","Global","CISAC"
"Health Check - ISWC - SQLDB - CPUPercentage","Règle d’alerte de métrique","ManagementProd","Global","CISAC"
"Health Check - ISWC - SQLDB - Data IO","Règle d’alerte de métrique","ManagementProd","Global","CISAC"
"Health Check - ISWC - SQLDB - Data Space Used","Règle d’alerte de métrique","ManagementProd","Global","CISAC"
"Health Check - ISWC - SQLDB - Deadlock","Règle d’alerte de métrique","ManagementProd","Global","CISAC"
"Health Check - ISWC - SQLDB - Failed Connections","Règle d’alerte de métrique","ManagementProd","Global","CISAC"
"Health Check - ISWC - SQLDB - Log IO","Règle d’alerte de métrique","ManagementProd","Global","CISAC"
"Health Check - ISWCProd - App Plan - CPU Percentage","Règle d’alerte de métrique","ManagementProd","Global","CISAC"
"Health Check - ISWCProd - App Plan - Memory Percentage","Règle d’alerte de métrique","ManagementProd","Global","CISAC"
"ISWC","Base de données SQL","ISWCDev","West Europe","CISAC"
"ISWC","Base de données SQL","ISWCProd","West Europe","CISAC"
"ISWC","Base de données SQL","ISWCUAT","West Europe","CISAC"
"ISWCDev","Service Azure Databricks","ISWCDev","West Europe","CISAC"
"ISWCDev","Plan App Service","ISWCDev","West Europe","CISAC"
"ISWCDev","Application Insights","ISWCDev","West Europe","CISAC"
"ISWCProd","Service Azure Databricks","ISWCProd","West Europe","CISAC"
"ISWCProd","Plan App Service","ISWCProd","West Europe","CISAC"
"ISWCProd","Application Insights","ISWCProd","West Europe","CISAC"
"ISWCUAT","Service Azure Databricks","ISWCUAT","West Europe","CISAC"
"ISWCUAT","Plan App Service","ISWCUAT","West Europe","CISAC"
"ISWCUAT","Application Insights","ISWCUAT","West Europe","CISAC"
"Migration_AG1","Groupe d’actions","ISWCUAT","Global","CISAC"
"Migration_AG2","Groupe d’actions","ISWCUAT","Global","CISAC"
"root-cisaciswcapiprod","Règle d’alerte de métrique","ISWCProd","Global","CISAC"
"root-cisaciswcapiprod","Availability test","ISWCProd","West Europe","CISAC"
"ScaleAppServicePlan","Runbook","ManagementDev","West Europe","CISAC"
"ScaleAppServicePlan","Runbook","ManagementProd","West Europe","CISAC"
"ScaleAppServicePlan","Runbook","ManagementUAT","West Europe","CISAC"
"ScaleCosmoDB","Runbook","ManagementDev","West Europe","CISAC"
"ScaleCosmoDB","Runbook","ManagementProd","West Europe","CISAC"
"ScaleCosmoDB","Runbook","ManagementUAT","West Europe","CISAC"
"spanish point support","Groupe d’actions","ISWCProd","Global","CISAC"
"StartVM","Runbook","ManagementDev","West Europe","CISAC"
"StartVM","Runbook","ManagementProd","West Europe","CISAC"
"StartVM","Runbook","ManagementUAT","West Europe","CISAC"
"StopVM","Runbook","ManagementDev","West Europe","CISAC"
"StopVM","Runbook","ManagementProd","West Europe","CISAC"
"StopVM","Runbook","ManagementUAT","West Europe","CISAC"
"workers-sg","Groupe de sécurité réseau","ISWCDatabricksDev","West Europe","CISAC"
"workers-sg","Groupe de sécurité réseau","ISWCDatabricksProd","West Europe","CISAC"
"workers-sg","Groupe de sécurité réseau","ISWCDatabricksUAT","West Europe","CISAC"
"workers-vnet","Réseau virtuel","ISWCDatabricksDev","West Europe","CISAC"
"workers-vnet","Réseau virtuel","ISWCDatabricksProd","West Europe","CISAC"
"workers-vnet","Réseau virtuel","ISWCDatabricksUAT","West Europe","CISAC"
