NOM,TYPE,GROUPE DE RESSOURCES,EMPLACEMENT,ABONNEMENT
"660ec011-e52e-4621-9393-b5177005fdad-dashboard","Tableau de bord partagé","ISWCDev","West Europe","CISAC"
"66fcbcb23b8b42c98d96f8037c76907a","Machine virtuelle","ISWCDatabricksProd","West Europe","CISAC"
"66fcbcb23b8b42c98d96f8037c76907a-containerRootVolume","Disque","ISWCDATABRICKSPROD","West Europe","CISAC"
"66fcbcb23b8b42c98d96f8037c76907a-osDisk","Disque","ISWCDATABRICKSPROD","West Europe","CISAC"
"66fcbcb23b8b42c98d96f8037c76907a-privateNIC","Interface réseau","ISWCDatabricksProd","West Europe","CISAC"
"66fcbcb23b8b42c98d96f8037c76907a-publicIP","Adresse IP publique","ISWCDatabricksProd","West Europe","CISAC"
"66fcbcb23b8b42c98d96f8037c76907a-publicNIC","Interface réseau","ISWCDatabricksProd","West Europe","CISAC"
"6c3b842b-2450-4b88-b443-bc3d321f4204-dashboard","Tableau de bord partagé","ISWCDev","West Europe","CISAC"
"73d6b6e155ed4fc48fe1538426861c62","Machine virtuelle","ISWCDatabricksUAT","West Europe","CISAC"
"73d6b6e155ed4fc48fe1538426861c62-containerRootVolume","Disque","ISWCDATABRICKSUAT","West Europe","CISAC"
"73d6b6e155ed4fc48fe1538426861c62-osDisk","Disque","ISWCDATABRICKSUAT","West Europe","CISAC"
"73d6b6e155ed4fc48fe1538426861c62-privateNIC","Interface réseau","ISWCDatabricksUAT","West Europe","CISAC"
"73d6b6e155ed4fc48fe1538426861c62-publicIP","Adresse IP publique","ISWCDatabricksUAT","West Europe","CISAC"
"73d6b6e155ed4fc48fe1538426861c62-publicNIC","Interface réseau","ISWCDatabricksUAT","West Europe","CISAC"
"7c2b865d-51f5-46ea-96de-418d3ddd3a9f","Azure Workbook","ISWCProd","West Europe","CISAC"
"9c0bdcd837344b2d98c6a86c32651cf7","Machine virtuelle","ISWCDatabricksUAT","West Europe","CISAC"
"9c0bdcd837344b2d98c6a86c32651cf7-containerRootVolume","Disque","ISWCDatabricksUAT","West Europe","CISAC"
"9c0bdcd837344b2d98c6a86c32651cf7-privateNIC","Interface réseau","ISWCDatabricksUAT","West Europe","CISAC"
"9c0bdcd837344b2d98c6a86c32651cf7-publicIP","Adresse IP publique","ISWCDatabricksUAT","West Europe","CISAC"
"9c0bdcd837344b2d98c6a86c32651cf7-publicNIC","Interface réseau","ISWCDatabricksUAT","West Europe","CISAC"
"a2e66feafb3f4ddcb05a50c28e52a9d9","Machine virtuelle","ISWCDatabricksProd","West Europe","CISAC"
"a2e66feafb3f4ddcb05a50c28e52a9d9-containerRootVolume","Disque","ISWCDATABRICKSPROD","West Europe","CISAC"
"a2e66feafb3f4ddcb05a50c28e52a9d9-osDisk","Disque","ISWCDATABRICKSPROD","West Europe","CISAC"
"a2e66feafb3f4ddcb05a50c28e52a9d9-privateNIC","Interface réseau","ISWCDatabricksProd","West Europe","CISAC"
"a2e66feafb3f4ddcb05a50c28e52a9d9-publicIP","Adresse IP publique","ISWCDatabricksProd","West Europe","CISAC"
"a2e66feafb3f4ddcb05a50c28e52a9d9-publicNIC","Interface réseau","ISWCDatabricksProd","West Europe","CISAC"
"a6f222d76f6a4fb7b9fabfc6487fe1cb","Machine virtuelle","ISWCDatabricksUAT","West Europe","CISAC"
"a6f222d76f6a4fb7b9fabfc6487fe1cb-containerRootVolume","Disque","ISWCDatabricksUAT","West Europe","CISAC"
